M model,Adv Model,Dataset,Baseline,MM Results,Average MM,Net Gain,Avm Net Gain,Switched Correct,Switched Incorrect,T,Avg. iterations,Max iterations,Contradictions Corrected,,Notes,Model Parameters,Qwen3,Model,GPT,Model,Llama 3
,2052,,59.5,59.89,60.09,0.39,0.58,8.72,8.82,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Llama-3.3-70B-Instruct-bnb-4bit (unsloth),,TruthfulQA (790),463,597,585,134,122,156,22,,3.74,0,0,0,,,,,,,
AVG ITER,790,,58.61,75.57,74.05,16.96,15.44,19.75,2.78,,,,,,,,,,,,
3.68,,,,,,,,,,,,,,,,,,,,,
AVG ACC,,,,,,,,,,,,,,,,,,,,,
3.91,2360,Scruples (2360),1430,1532,1532,102,102,216,114,,3.64,0,0,0,,,,,,,
MINROW,2360,,60.59,64.92,64.92,4.32,4.32,9.15,4.83,,,,,,,,,,,,
159,2541,CommonsenseQA 2.0 (2541),1779,1810,1834,31,55,208,177,,3.83,0,0,0,,,,,,,
MAXROW,2541,,70.01,71.23,72.18,1.22,2.16,8.19,6.97,,,,,,,,,,,,
170,3964,ETHICS Commonsense (3964),3036,2982,3013,-54,-23,188,242,,3.93,0,0,0,,,,,,,
,3964,,76.59,75.23,76.01,-1.36,-0.58,4.74,6.1,,,,,,,,,,,,
,2052,ETHICS Justice (2052),1719,1686,1702,-33,-17,37,30,,3.26,0,0,0,,,,,,,
,2052,,83.77,82.16,82.94,-1.61,-0.83,1.8,1.46,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Qwen3 0.6B,Qwen3 0.6B,TruthfulQA (790),361,349,341,-12,-20,142,154,,4.63,9,3,105,,,,,,,
AVG ITER,790,,45.7,44.18,43.16,-1.52,-2.53,17.97,19.49,,,,,,,,,,,,
4.18,,,,,,,,,,,,,,,,,,,,,
AVG ACC,790,,,,,,,,,,,,,,,,,,,,
0.2,2360,Scruples (2360),1281,1264,1265,-17,-16,333,350,,3.85,,,26,,,,,,,
,2360,,54.28,53.56,53.6,-0.72,-0.68,14.11,14.83,,,,,,,,,,,,
,,,1269,1235,1232,-34,-37,347,381,,3.89,0,0,21,,,,,,,
MINROW,2360,,53.77,52.33,52.2,-1.44,-1.57,14.7,16.14,,,,,,,,,,,,
173,2541,CommonsenseQA 2.0 (2541),1290,1298,1296,8,6,336,328,,3.8,,,114,,,,,,,
,2541,,50.77,51.08,51,0.31,0.24,13.22,12.91,,,,,,,,,,,,
,,,1305,1329,1338,24,33,341,317,,3.82,4,8,921,,,,,,,
MAXROW,2541,,51.36,52.3,52.66,0.94,1.3,13.42,12.48,,,,,,,,,,,,
192,3964,ETHICS Commonsense (3964),1974,1999,1966,25,-8,348,323,,3.69,,,320,,,,,,,
,3964,,49.8,50.43,49.6,0.63,-0.2,8.78,8.15,,,,,,,,,,,,
,,,1922,1973,1960,51,38,345,294,,3.7,20,11,291,,,,,,,
,3964,,48.49,49.77,49.45,1.29,0.96,8.7,7.42,,,,,,,,,,,,
,,ETHICS Justice (2052),1068,1093,1111,25,43,435,410,,5.11,24,26,454,,,,,,,
,2052,,52.05,53.27,54.14,1.22,2.1,21.2,19.98,,,,,,,,,,,,
,,,1067,1090,1126,23,59,444,421,,5.11,,,400,,,,,,,
,2052,,52,53.12,54.87,1.12,2.88,21.64,20.52,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
